area_name,status,state,1990,2000,2010,2017
Hot Springs,Metropolitan Statistical Area,AR,73397,88122,96011,98658
Houghton,Micropolitan Statistical Area,MI,37147,38309,38784,38410
Houma - Thibodaux,Metropolitan Statistical Area,LA,182842,194517,208183,210512
Houston - The Woodlands - Sugar Land,Metropolitan Statistical Area,TX,3750846,4693520,5920486,6892427
Hudson,Micropolitan Statistical Area,NY,62982,63074,63066,60604
Huntingdon,Micropolitan Statistical Area,PA,44164,45613,46031,45491
Huntington,Micropolitan Statistical Area,IN,35427,38078,37124,36337
Huntington - Ashland,Metropolitan Statistical Area,WV-KY-OH,352406,362350,364928,356474
Huntsville,Metropolitan Statistical Area,AL,293047,342666,417593,455448
Huntsville,Micropolitan Statistical Area,TX,62362,75505,82536,86912
Huron,Micropolitan Statistical Area,SD,18253,17027,17399,18157
Hutchinson,Micropolitan Statistical Area,KS,62389,64793,64511,62510
Hutchinson,Micropolitan Statistical Area,MN,32030,34906,36651,35884
Idaho Falls,Metropolitan Statistical Area,ID,91668,104559,133333,145643
Indiana,Micropolitan Statistical Area,PA,89994,89593,88893,84953
Indianapolis - Carmel - Anderson,Metropolitan Statistical Area,IN,1424886,1658439,1888090,2028614
Indianola,Micropolitan Statistical Area,MS,35129,34382,29385,25981
Ionia,Micropolitan Statistical Area,MI,57024,61539,63905,64291
Iowa City,Metropolitan Statistical Area,IA,115731,131662,152586,171491
Iron Mountain,Micropolitan Statistical Area,MI-WI,31421,32553,30591,29786
Ithaca,Metropolitan Statistical Area,NY,94097,96487,101594,104802
Jackson,Metropolitan Statistical Area,MI,149756,158426,160248,158640
Jackson,Metropolitan Statistical Area,MS,472447,525407,567645,578715
Jackson,Micropolitan Statistical Area,OH,30230,32653,33226,32449
Jackson,Metropolitan Statistical Area,TN,104179,121969,130018,129235
Jackson,Micropolitan Statistical Area,WY-ID,14612,24263,31459,34646
Jacksonville,Metropolitan Statistical Area,FL,925213,1122821,1345598,1504980
Jacksonville,Micropolitan Statistical Area,IL,42041,42166,40906,38800
Jacksonville,Metropolitan Statistical Area,NC,149838,150418,177799,193893
Jacksonville,Micropolitan Statistical Area,TX,41049,46716,50834,52240
Jamestown,Micropolitan Statistical Area,ND,22241,21912,21100,21087
Jamestown - Dunkirk - Fredonia,Micropolitan Statistical Area,NY,141895,139698,134904,129046
Janesville - Beloit,Metropolitan Statistical Area,WI,139510,152315,160331,162309
Jasper,Micropolitan Statistical Area,IN,49125,52703,54653,54923
Jayuya,Micropolitan Statistical Area,PR,15527,17318,16642,14625
Jefferson,Micropolitan Statistical Area,GA,30005,41612,60460,67519
Jefferson City,Metropolitan Statistical Area,MO,120704,140033,149805,151465
Jennings,Micropolitan Statistical Area,LA,30722,31432,31594,31477
Jesup,Micropolitan Statistical Area,GA,22356,26571,30099,29817
Johnson City,Metropolitan Statistical Area,TN,160390,181585,198755,202053
Johnstown,Metropolitan Statistical Area,PA,163062,152555,143674,133054
Jonesboro,Metropolitan Statistical Area,AR,93620,107756,121026,131269
Joplin,Metropolitan Statistical Area,MO,134910,157300,175516,178507
Junction City,Micropolitan Statistical Area,KS,30453,27849,34357,33855
Juneau,Micropolitan Statistical Area,AK,26752,30704,31275,32094
Kahului - Wailuku - Lahaina,Metropolitan Statistical Area,HI,100504,128237,154925,166348
Kalamazoo - Portage,Metropolitan Statistical Area,MI,293471,314841,326590,338338
Kalispell,Micropolitan Statistical Area,MT,59218,74507,90928,100000
Kankakee,Metropolitan Statistical Area,IL,96255,103825,113449,109605
Kansas City,Metropolitan Statistical Area,MO-KS,1614533,1811788,2009338,2128912
Kapaa,Micropolitan Statistical Area,HI,51177,58460,67091,72159
Kearney,Micropolitan Statistical Area,NE,44076,49119,52591,56262
Keene,Micropolitan Statistical Area,NH,70121,73811,77117,75960
Kendallville,Micropolitan Statistical Area,IN,37877,46468,47540,47452
Kennett,Micropolitan Statistical Area,MO,33112,33184,31953,30119
Kennewick - Richland,Metropolitan Statistical Area,WA,150033,191851,253334,290296
Kerrville,Micropolitan Statistical Area,TX,36304,43646,49625,51720
Ketchikan,Micropolitan Statistical Area,AK,13828,14074,13491,13856
Key West,Micropolitan Statistical Area,FL,78024,79602,73090,77013
Kill Devil Hills,Micropolitan Statistical Area,NC,26602,34102,38327,40151
Killeen - Temple,Metropolitan Statistical Area,TX,268820,330726,405310,443773
Kingsport - Bristol - Bristol,Metropolitan Statistical Area,TN-VA,275678,298564,309512,306659
Kingston,Metropolitan Statistical Area,NY,165380,177726,182512,179417
Kingsville,Micropolitan Statistical Area,TX,30734,32024,32474,31505
Kinston,Micropolitan Statistical Area,NC,57274,59636,59518,56883
Kirksville,Micropolitan Statistical Area,MO,28813,29141,30038,29885
Klamath Falls,Micropolitan Statistical Area,OR,57702,63771,66380,66935
Knoxville,Metropolitan Statistical Area,TN,651611,748231,837675,877104
Kokomo,Metropolitan Statistical Area,IN,80827,84961,82752,82363
Laconia,Micropolitan Statistical Area,NH,49216,56268,60072,60785
La Crosse - Onalaska,Metropolitan Statistical Area,WI-MN,116401,126881,133665,136934
Lafayette,Metropolitan Statistical Area,LA,383093,424983,466744,491558
Lafayette - West Lafayette,Metropolitan Statistical Area,IN,158848,178549,201798,219239
La Grande,Micropolitan Statistical Area,OR,23598,24522,25744,26222
LaGrange,Micropolitan Statistical Area,GA,55532,58753,67040,69786
Lake Charles,Metropolitan Statistical Area,LA,177394,193571,199629,209357
Lake City,Micropolitan Statistical Area,FL,42613,56413,67530,69612
Lake Havasu City - Kingman,Metropolitan Statistical Area,AZ,93497,154981,200185,207200
Lakeland - Winter Haven,Metropolitan Statistical Area,FL,405382,483888,602095,686483
Lamesa,Micropolitan Statistical Area,TX,14349,14987,13833,12813
Lancaster,Metropolitan Statistical Area,PA,422822,470783,519447,542903
Lansing - East Lansing,Metropolitan Statistical Area,MI,432684,447845,464032,477656
Laramie,Micropolitan Statistical Area,WY,30797,32029,36299,38332
Laredo,Metropolitan Statistical Area,TX,133239,193124,250304,274794
Las Cruces,Metropolitan Statistical Area,NM,135510,174880,209222,215579
Las Vegas,Micropolitan Statistical Area,NM,25743,30089,29387,27748
Las Vegas - Henderson - Paradise,Metropolitan Statistical Area,NV,741368,1375741,1951269,2204079
Laurel,Micropolitan Statistical Area,MS,79145,83103,84823,84512
Laurinburg,Micropolitan Statistical Area,NC,33763,35952,36157,35093
Lawrence,Metropolitan Statistical Area,KS,81798,99953,110826,120793
Lawrenceburg,Micropolitan Statistical Area,TN,35303,39910,41851,43396
Lawton,Metropolitan Statistical Area,OK,118137,121599,130291,127349
Lebanon,Micropolitan Statistical Area,MO,27158,32532,35571,35443
Lebanon,Metropolitan Statistical Area,PA,113744,120202,133577,139754
Levelland,Micropolitan Statistical Area,TX,24199,22719,22927,23088
Lewisburg,Micropolitan Statistical Area,PA,36176,41583,44949,44595
Lewisburg,Micropolitan Statistical Area,TN,21539,26761,30606,32931
Lewiston,Metropolitan Statistical Area,ID-WA,51359,57971,60893,62920
Lewiston - Auburn,Metropolitan Statistical Area,ME,105259,103803,107702,107651
Lewistown,Micropolitan Statistical Area,PA,46197,46471,46682,46388
Lexington,Micropolitan Statistical Area,NE,21868,26513,26370,25737
Lexington - Fayette,Metropolitan Statistical Area,KY,348428,408411,472102,512650
Liberal,Micropolitan Statistical Area,KS,18743,22517,22950,22159
Lima,Metropolitan Statistical Area,OH,109755,108464,106326,103198
Lincoln,Micropolitan Statistical Area,IL,30798,31199,30305,29245
Lincoln,Metropolitan Statistical Area,NE,229091,266798,302157,331519
Little Rock - North Little Rock - Conway,Metropolitan Statistical Area,AR,534943,610470,699786,738344
Lock Haven,Micropolitan Statistical Area,PA,37182,37879,39241,38998
Logan,Metropolitan Statistical Area,UT-ID,79415,102722,125442,138002
Logan,Micropolitan Statistical Area,WV,43032,37705,36745,32925
Logansport,Micropolitan Statistical Area,IN,38413,40924,38966,37994
London,Micropolitan Statistical Area,KY,106440,120326,126369,127615
Longview,Metropolitan Statistical Area,TX,180053,194046,214384,217481
Longview,Metropolitan Statistical Area,WA,82119,92945,102408,106910
Los Alamos,Micropolitan Statistical Area,NM,18115,18347,17950,18738
Los Angeles - Long Beach - Anaheim,Metropolitan Statistical Area,CA,11273720,12365597,12828961,13353907
Louisville/Jefferson County,Metropolitan Statistical Area,KY-IN,1023267,1121521,1235706,1293953
Lubbock,Metropolitan Statistical Area,TX,236698,256263,290870,316983
Ludington,Micropolitan Statistical Area,MI,25537,28283,28687,29073
Lufkin,Micropolitan Statistical Area,TX,69884,80123,86771,87805
Lumberton,Micropolitan Statistical Area,NC,105170,123170,134233,132606
Lynchburg,Metropolitan Statistical Area,VA,206226,228541,252660,261254
Macomb,Micropolitan Statistical Area,IL,35244,32906,32612,30823
Macon,Metropolitan Statistical Area,GA,206786,222479,232286,228914
Madera,Metropolitan Statistical Area,CA,88090,123179,150843,156890
Madison,Micropolitan Statistical Area,IN,29797,31712,32404,32089
Madison,Metropolitan Statistical Area,WI,462662,535453,605428,654230
Madisonville,Micropolitan Statistical Area,KY,46126,46519,46920,45547
Magnolia,Micropolitan Statistical Area,AR,25691,25612,24552,23627
Malone,Micropolitan Statistical Area,NY,46540,51110,51606,51116
Malvern,Micropolitan Statistical Area,AR,26115,30413,33009,33574
Manchester - Nashua,Metropolitan Statistical Area,NH,335838,380856,400717,409697
Manhattan,Metropolitan Statistical Area,KS,83267,81162,92742,98080
Manitowoc,Micropolitan Statistical Area,WI,80421,82907,81442,79175
Mankato - North Mankato,Metropolitan Statistical Area,MN,82120,85711,96740,100939
Mansfield,Metropolitan Statistical Area,OH,126137,128932,124476,120589
Marietta,Micropolitan Statistical Area,OH,62254,63242,61778,60418
Marinette,Micropolitan Statistical Area,WI-MI,65468,68715,65778,63356
Marion,Micropolitan Statistical Area,IN,74169,73410,70063,66491
Marion,Micropolitan Statistical Area,NC,35681,42134,44996,45159
Marion,Micropolitan Statistical Area,OH,64274,66198,66501,64967
Marquette,Micropolitan Statistical Area,MI,70887,64634,67077,66502
Marshall,Micropolitan Statistical Area,MN,24789,25437,25857,25831
Marshall,Micropolitan Statistical Area,MO,23523,23764,23370,22660
Marshall,Micropolitan Statistical Area,TX,57483,62096,65629,66661
Marshalltown,Micropolitan Statistical Area,IA,38276,39332,40648,40288
Martin,Micropolitan Statistical Area,TN,31972,34917,35015,33337
Martinsville,Micropolitan Statistical Area,VA,73104,73362,67996,64369
Maryville,Micropolitan Statistical Area,MO,21709,21913,23370,22472
Mason City,Micropolitan Statistical Area,IA,54724,54358,51749,50475
Mayagüez,Metropolitan Statistical Area,PR,115583,115048,106330,91557
Mayfield,Micropolitan Statistical Area,KY,33550,37024,37121,37121
Maysville,Micropolitan Statistical Area,KY,16666,16812,17490,17174
McAlester,Micropolitan Statistical Area,OK,40950,43944,45837,44184
McAllen - Edinburg - Mission,Metropolitan Statistical Area,TX,383545,569099,774770,860661
McComb,Micropolitan Statistical Area,MS,50210,52522,53535,51915
McMinnville,Micropolitan Statistical Area,TN,32992,38275,39824,40651
McPherson,Micropolitan Statistical Area,KS,27268,29560,29152,28708
Meadville,Micropolitan Statistical Area,PA,86166,90352,88761,86159
Medford,Metropolitan Statistical Area,OR,146387,181281,203206,217479
Memphis,Metropolitan Statistical Area,TN-MS-AR,1075309,1213285,1324827,1348260
Menomonie,Micropolitan Statistical Area,WI,35909,39853,43857,44693
Merced,Metropolitan Statistical Area,CA,178403,211178,255798,272673
Meridian,Micropolitan Statistical Area,MS,103224,106411,107454,101866
Merrill,Micropolitan Statistical Area,WI,26993,29625,28743,27838
Mexico,Micropolitan Statistical Area,MO,23599,25857,25529,25641
Miami,Micropolitan Statistical Area,OK,30561,33164,31848,31312
Miami - Fort Lauderdale - West Palm Beach,Metropolitan Statistical Area,FL,4056228,5007956,5566299,6158824
Michigan City - La Porte,Metropolitan Statistical Area,IN,107066,110099,111467,110029
Middlesborough,Micropolitan Statistical Area,KY,31506,30049,28691,26894
Midland,Metropolitan Statistical Area,MI,75651,82797,83629,83411
Midland,Metropolitan Statistical Area,TX,111567,120780,141671,170675
Milledgeville,Micropolitan Statistical Area,GA,48438,54699,55242,53467
Milwaukee - Waukesha - West Allis,Metropolitan Statistical Area,WI,1432149,1500788,1555954,1576236
Mineral Wells,Micropolitan Statistical Area,TX,25055,27015,28122,28570
Minneapolis - St. Paul - Bloomington,Metropolitan Statistical Area,MN-WI,2595051,3032340,3348858,3600618
Minot,Micropolitan Statistical Area,ND,67609,67394,69539,77309
Missoula,Metropolitan Statistical Area,MT,78687,95803,109299,117441
Mitchell,Micropolitan Statistical Area,SD,20497,21887,22835,23127
Moberly,Micropolitan Statistical Area,MO,24370,24663,25414,24945
Mobile,Metropolitan Statistical Area,AL,378643,399887,413143,413955
Modesto,Metropolitan Statistical Area,CA,370522,446850,514451,547899
Monroe,Metropolitan Statistical Area,LA,162987,170054,176505,178445
Monroe,Metropolitan Statistical Area,MI,133600,145939,152021,149649
Montgomery,Metropolitan Statistical Area,AL,305175,346571,374541,373903
Montrose,Micropolitan Statistical Area,CO,24423,33438,41278,41784
Morehead City,Micropolitan Statistical Area,NC,52407,59334,66463,68881
Morgan City,Micropolitan Statistical Area,LA,58086,53539,54650,50973
Morgantown,Metropolitan Statistical Area,WV,104546,111201,129709,138709
Morristown,Metropolitan Statistical Area,TN,83496,102444,114193,118081
Moscow,Micropolitan Statistical Area,ID,30617,34925,37239,39333
Moses Lake,Micropolitan Statistical Area,WA,54798,74714,89120,95158
Moultrie,Micropolitan Statistical Area,GA,36645,42050,45497,45835
Mountain Home,Micropolitan Statistical Area,AR,31186,38365,41513,41355
Mountain Home,Micropolitan Statistical Area,ID,21205,29116,27038,26823
Mount Airy,Micropolitan Statistical Area,NC,61704,71208,73748,72224
Mount Pleasant,Micropolitan Statistical Area,MI,54624,63336,70311,71063
Mount Pleasant,Micropolitan Statistical Area,TX,24009,28118,32334,32904
Mount Sterling,Micropolitan Statistical Area,KY,34345,40174,44398,46761
Mount Vernon,Micropolitan Statistical Area,IL,37020,40051,38825,38179
Mount Vernon,Micropolitan Statistical Area,OH,47473,54482,60930,61261
Mount Vernon - Anacortes,Metropolitan Statistical Area,WA,79545,103017,116896,125619
Muncie,Metropolitan Statistical Area,IN,119659,118769,117669,115184
Murray,Micropolitan Statistical Area,KY,30735,34182,37191,38919
Muscatine,Micropolitan Statistical Area,IA,39907,41723,42749,42880
Muskegon,Metropolitan Statistical Area,MI,158983,170208,172188,173693
Muskogee,Micropolitan Statistical Area,OK,68078,69471,70988,69086
Myrtle Beach - Conway - North Myrtle Beach,Metropolitan Statistical Area,SC-NC,195038,269679,376722,464165
Nacogdoches,Micropolitan Statistical Area,TX,54753,59197,64524,65580
Napa,Metropolitan Statistical Area,CA,110765,124344,136530,140973
Naples - Immokalee - Marco Island,Metropolitan Statistical Area,FL,152099,251412,321520,372880
Nashville-Davidson - Murfreesboro - Franklin,Metropolitan Statistical Area,TN,1103028,1381412,1670883,1903045
Natchez,Micropolitan Statistical Area,MS-LA,56184,54560,53119,50869
Natchitoches,Micropolitan Statistical Area,LA,37254,39077,39566,39021
New Bern,Metropolitan Statistical Area,NC,102541,114733,126812,124864
Newberry,Micropolitan Statistical Area,SC,33172,35979,37508,38488
New Castle,Micropolitan Statistical Area,IN,48139,48511,49466,48476
New Castle,Micropolitan Statistical Area,PA,96246,94567,91140,87069
New Haven - Milford,Metropolitan Statistical Area,CT,804219,823993,862462,860435
New Orleans - Metairie,Metropolitan Statistical Area,LA,1285262,1337740,1189859,1275762
New Philadelphia - Dover,Micropolitan Statistical Area,OH,84090,90919,92582,92297
Newport,Micropolitan Statistical Area,OR,38889,44481,46032,48920
Newport,Micropolitan Statistical Area,TN,29141,33548,35642,35556
Newton,Micropolitan Statistical Area,IA,34795,37229,36842,36966
New Ulm,Micropolitan Statistical Area,MN,26984,26916,25893,25194
New York - Newark - Jersey City,Metropolitan Statistical Area,NY-NJ-PA,17430704,18945888,19566480,20320876
Niles - Benton Harbor,Metropolitan Statistical Area,MI,161378,162491,156817,154259
Nogales,Micropolitan Statistical Area,AZ,29676,38381,47423,46212
Norfolk,Micropolitan Statistical Area,NE,46726,49550,48270,48270
North Platte,Micropolitan Statistical Area,NE,33932,35937,37590,36547
North Port - Sarasota - Bradenton,Metropolitan Statistical Area,FL,489483,589998,702313,804690
North Vernon,Micropolitan Statistical Area,IN,23661,27561,28529,27626
North Wilkesboro,Micropolitan Statistical Area,NC,59393,65630,69303,68576
Norwalk,Micropolitan Statistical Area,OH,56238,59447,59625,58494
Norwich - New London,Metropolitan Statistical Area,CT,254957,259108,274059,269033
Oak Harbor,Micropolitan Statistical Area,WA,60195,71571,78506,83159
Ocala,Metropolitan Statistical Area,FL,194835,258873,331301,354353
Ocean City,Metropolitan Statistical Area,NJ,95089,102323,97265,93553
Odessa,Metropolitan Statistical Area,TX,118934,121124,137136,157087
Ogden - Clearfield,Metropolitan Statistical Area,UT,388284,485410,597159,665358
Ogdensburg - Massena,Micropolitan Statistical Area,NY,111974,111922,111941,109623
Oil City,Micropolitan Statistical Area,PA,59381,57500,54983,51762
Okeechobee,Micropolitan Statistical Area,FL,29627,35869,39996,41605
Oklahoma City,Metropolitan Statistical Area,OK,971042,1095553,1252991,1383737
Olean,Micropolitan Statistical Area,NY,84234,83874,80343,77348
Olympia - Tumwater,Metropolitan Statistical Area,WA,161238,207392,252260,280588
Omaha - Council Bluffs,Metropolitan Statistical Area,NE-IA,685797,767175,865356,933316
Oneonta,Micropolitan Statistical Area,NY,60390,61692,62272,60094
Ontario,Micropolitan Statistical Area,OR-ID,42472,52202,53934,53695
Opelousas,Micropolitan Statistical Area,LA,80312,87662,83387,83497
Orangeburg,Micropolitan Statistical Area,SC,84804,91511,92495,87476
Orlando - Kissimmee - Sanford,Metropolitan Statistical Area,FL,1224844,1644509,2134399,2509831
Oshkosh - Neenah,Metropolitan Statistical Area,WI,140320,156752,166994,170414
Oskaloosa,Micropolitan Statistical Area,IA,21532,22319,22381,22235
Othello,Micropolitan Statistical Area,WA,13603,16426,18728,19506
Ottawa,Micropolitan Statistical Area,KS,21994,24784,25996,25733
Ottawa - Peru,Micropolitan Statistical Area,IL,148331,153172,154899,149037
Ottumwa,Micropolitan Statistical Area,IA,44008,44608,44378,44010
Owatonna,Micropolitan Statistical Area,MN,30729,33684,36576,36887
Owensboro,Metropolitan Statistical Area,KY,104681,109879,114754,118376
Owosso,Micropolitan Statistical Area,MI,69770,71695,70648,68446
Oxford,Micropolitan Statistical Area,MS,31826,38687,47359,54374
Oxford,Micropolitan Statistical Area,NC,38341,48486,57522,59557
Oxnard - Thousand Oaks - Ventura,Metropolitan Statistical Area,CA,669016,753230,823391,854223
Ozark,Micropolitan Statistical Area,AL,49633,49120,50247,49226
Paducah,Micropolitan Statistical Area,KY-IL,94595,98773,98760,97037
Pahrump,Micropolitan Statistical Area,NV,17781,32522,43945,44202
Palatka,Micropolitan Statistical Area,FL,65070,70418,74366,73464
Palestine,Micropolitan Statistical Area,TX,48024,55114,58458,57741
Palm Bay - Melbourne - Titusville,Metropolitan Statistical Area,FL,398978,476299,543378,589162
Pampa,Micropolitan Statistical Area,TX,23967,22742,22535,22404
Panama City,Metropolitan Statistical Area,FL,138498,162818,184715,199723
Paragould,Micropolitan Statistical Area,AR,31804,37383,42090,45053
Paris,Micropolitan Statistical Area,TN,27888,31112,32354,32450
Paris,Micropolitan Statistical Area,TX,43949,48491,49789,49587
Parkersburg - Vienna,Metropolitan Statistical Area,WV,92107,93819,92674,90898
Parsons,Micropolitan Statistical Area,KS,23693,22821,21610,20145
Payson,Micropolitan Statistical Area,AZ,40216,51298,53597,53501
Pearsall,Micropolitan Statistical Area,TX,13472,16255,17217,19600
Pecos,Micropolitan Statistical Area,TX,15852,13141,13783,15281
Pella,Micropolitan Statistical Area,IA,30001,32048,33309,33105
Pensacola - Ferry Pass - Brent,Metropolitan Statistical Area,FL,344406,412167,448992,487784
Peoria,Metropolitan Statistical Area,IL,358552,366911,379186,372427
Peru,Micropolitan Statistical Area,IN,36897,36085,36908,35845
Philadelphia - Camden - Wilmington,Metropolitan Statistical Area,PA-NJ-DE-MD,5435550,5686329,5965693,6096120
Phoenix - Mesa - Scottsdale,Metropolitan Statistical Area,AZ,2238498,3251884,4193129,4737270
Picayune,Micropolitan Statistical Area,MS,38714,48518,55747,55270
Pierre,Micropolitan Statistical Area,SD,18859,20808,21356,22084
Pine Bluff,Metropolitan Statistical Area,AR,106958,107339,100278,90963
Pinehurst - Southern Pines,Micropolitan Statistical Area,NC,59000,74772,88246,97264
Pittsburg,Micropolitan Statistical Area,KS,35582,38248,39135,39034
Pittsburgh,Metropolitan Statistical Area,PA,2468289,2431233,2356291,2333367
Pittsfield,Metropolitan Statistical Area,MA,139352,134922,131272,126313
Plainview,Micropolitan Statistical Area,TX,34671,36605,36227,34134
Platteville,Micropolitan Statistical Area,WI,49266,49590,51208,51999
Plattsburgh,Micropolitan Statistical Area,NY,85969,79882,82131,80980
Plymouth,Micropolitan Statistical Area,IN,42182,45126,47047,46498
Pocatello,Metropolitan Statistical Area,ID,66026,75562,82839,85269
Point Pleasant,Micropolitan Statistical Area,WV-OH,56132,57010,58272,56774
Ponca City,Micropolitan Statistical Area,OK,48056,48086,46562,44544
Ponce,Metropolitan Statistical Area,PR,362644,382982,350384,300843
Pontiac,Micropolitan Statistical Area,IL,39301,39734,38950,36518
Poplar Bluff,Micropolitan Statistical Area,MO,38765,40864,42794,42666
Portales,Micropolitan Statistical Area,NM,16702,18022,19840,18847
Port Angeles,Micropolitan Statistical Area,WA,56210,64183,71404,75474
Port Clinton,Micropolitan Statistical Area,OH,40029,40974,41434,40657
Portland - South Portland,Metropolitan Statistical Area,ME,441257,487508,514102,532083
Portland - Vancouver - Hillsboro,Metropolitan Statistical Area,OR-WA,1523741,1927904,2226001,2453168
Port Lavaca,Micropolitan Statistical Area,TX,19053,20645,21381,21744
Portsmouth,Micropolitan Statistical Area,OH,80327,79215,79497,75929
Port St. Lucie,Metropolitan Statistical Area,FL,251071,319456,424107,473429
Pottsville,Micropolitan Statistical Area,PA,152585,150263,148289,142569
Prescott,Metropolitan Statistical Area,AZ,107714,167377,211015,228168
Price,Micropolitan Statistical Area,UT,20228,20531,21403,20295
Prineville,Micropolitan Statistical Area,OR,14111,19175,20978,23123
Providence - Warwick,Metropolitan Statistical Area,RI-MA,1509789,1582961,1601210,1621122
Provo - Orem,Metropolitan Statistical Area,UT,269407,376775,526885,617675
Pueblo,Metropolitan Statistical Area,CO,123051,141490,159063,166475
Pullman,Micropolitan Statistical Area,WA,38775,40742,44778,49046
Punta Gorda,Metropolitan Statistical Area,FL,110975,141620,159968,182033
Quincy,Micropolitan Statistical Area,IL-MO,76323,78748,77312,76201
Racine,Metropolitan Statistical Area,WI,175034,188849,195428,196071
Raleigh,Metropolitan Statistical Area,NC,544031,797188,1130489,1335079
Rapid City,Metropolitan Statistical Area,SD,109400,120117,134616,146850
Raymondville,Micropolitan Statistical Area,TX,17705,20079,22137,21584
Reading,Metropolitan Statistical Area,PA,336523,373712,411538,417854
Red Bluff,Micropolitan Statistical Area,CA,49625,56060,63440,63926
Redding,Metropolitan Statistical Area,CA,147036,163242,177223,179921
Red Wing,Micropolitan Statistical Area,MN,40690,44139,46182,46304
Reno,Metropolitan Statistical Area,NV,257193,342881,425437,464593
Rexburg,Micropolitan Statistical Area,ID,34611,39304,50787,52235
Richmond,Micropolitan Statistical Area,IN,71951,71087,69003,66185
Richmond,Metropolitan Statistical Area,VA,914805,1055796,1208087,1294204
Richmond - Berea,Micropolitan Statistical Area,KY,72311,87462,99972,107924
Rio Grande City,Micropolitan Statistical Area,TX,40518,53573,60968,64454
Riverside - San Bernardino - Ontario,Metropolitan Statistical Area,CA,2588793,3254799,4224965,4580670
Riverton,Micropolitan Statistical Area,WY,33662,35805,40123,39803
Roanoke,Metropolitan Statistical Area,VA,268513,288370,308670,314128
Roanoke Rapids,Micropolitan Statistical Area,NC,76520,79495,76735,71172
Rochelle,Micropolitan Statistical Area,IL,45957,51001,53497,51063
Rochester,Metropolitan Statistical Area,MN,162722,184745,206877,218280
Rochester,Metropolitan Statistical Area,NY,1025220,1062522,1079691,1077948
Rockford,Metropolitan Statistical Area,IL,283719,320229,349431,338291
Rockingham,Micropolitan Statistical Area,NC,44511,46597,46642,44798
Rock Springs,Micropolitan Statistical Area,WY,38823,37620,43806,43534
Rocky Mount,Metropolitan Statistical Area,NC,133369,142982,152374,146738
Rolla,Micropolitan Statistical Area,MO,35248,39826,45154,44744
Rome,Metropolitan Statistical Area,GA,81251,90622,96316,97613
Roseburg,Micropolitan Statistical Area,OR,94649,100375,107667,109405
Roswell,Micropolitan Statistical Area,NM,57849,61373,65648,64866
Ruidoso,Micropolitan Statistical Area,NM,12219,19374,20493,19395
Russellville,Micropolitan Statistical Area,AR,63642,75619,83939,85358
Ruston,Micropolitan Statistical Area,LA,41745,42503,46735,47744
Rutland,Micropolitan Statistical Area,VT,62142,63386,61649,59087
Sacramento - Roseville - Arden-Arcade,Metropolitan Statistical Area,CA,1506792,1796822,2149144,2324884
Safford,Micropolitan Statistical Area,AZ,26554,33475,37220,37466
Saginaw,Metropolitan Statistical Area,MI,211946,210051,200169,191934
Salem,Micropolitan Statistical Area,OH,108276,112050,107841,103077
Salem,Metropolitan Statistical Area,OR,278024,347256,390754,424982
Salina,Micropolitan Statistical Area,KS,54935,59763,61729,60597
Salinas,Metropolitan Statistical Area,CA,355660,401752,415052,437907
Salisbury,Metropolitan Statistical Area,MD-DE,246036,312437,373764,405853
Salt Lake City,Metropolitan Statistical Area,UT,752557,939169,1087808,1203105
San Angelo,Metropolitan Statistical Area,TX,100087,105780,111825,119535
San Antonio - New Braunfels,Metropolitan Statistical Area,TX,1407745,1711578,2142516,2473974
San Diego - Carlsbad,Metropolitan Statistical Area,CA,2498016,2813839,3095342,3337685
Sandpoint,Micropolitan Statistical Area,ID,26622,36809,40877,43560
Sandusky,Micropolitan Statistical Area,OH,76781,79623,77066,74817
Sanford,Micropolitan Statistical Area,NC,41370,49196,57858,60430
San Francisco - Oakland - Hayward,Metropolitan Statistical Area,CA,3711756,4123734,4335573,4727357
San Germán,Metropolitan Statistical Area,PR,119597,136212,137722,126097
San Jose - Sunnyvale - Santa Clara,Metropolitan Statistical Area,CA,1534274,1735995,1836940,1998463
San Juan - Carolina - Caguas,Metropolitan Statistical Area,PR,2217966,2387790,2350324,2112005
San Luis Obispo - Paso Robles - Arroyo Grande,Metropolitan Statistical Area,CA,217162,246746,269591,283405
Santa Cruz - Watsonville,Metropolitan Statistical Area,CA,229734,255614,262366,275897
Santa Fe,Metropolitan Statistical Area,NM,98928,129304,144217,148750
Santa Isabel,Micropolitan Statistical Area,PR,19318,21665,23274,21863
Santa Maria - Santa Barbara,Metropolitan Statistical Area,CA,369608,399293,423949,448150
Santa Rosa,Metropolitan Statistical Area,CA,388222,458586,483870,504217
Sault Ste. Marie,Micropolitan Statistical Area,MI,34604,38543,38673,37711
Savannah,Metropolitan Statistical Area,GA,257899,293324,347598,387543
Sayre,Micropolitan Statistical Area,PA,60967,62747,62709,60853
Scottsbluff,Micropolitan Statistical Area,NE,38426,39242,38971,38308
Scottsboro,Micropolitan Statistical Area,AL,47796,53871,53226,51909
Scranton - Wilkes-Barre - Hazleton,Metropolitan Statistical Area,PA,575322,560793,563625,555426
Searcy,Micropolitan Statistical Area,AR,54676,67164,77076,79016
Seattle - Tacoma - Bellevue,Metropolitan Statistical Area,WA,2559136,3043934,3439806,3867046
Sebastian - Vero Beach,Metropolitan Statistical Area,FL,90208,112877,138028,154383
Sebring,Metropolitan Statistical Area,FL,68432,87391,98786,102883
