area_name,status,state,1990,2000,2010,2017
Big Stone Gap,Micropolitan Statistical Area,VA,61440,62478,61312,57304
Billings,Metropolitan Statistical Area,MT,122411,139932,158934,170498
Binghamton,Metropolitan Statistical Area,NY,264497,252298,251737,242217
Birmingham - Hoover,Metropolitan Statistical Area,AL,956668,1051340,1128056,1149807
Bismarck,Metropolitan Statistical Area,ND,89973,100809,114778,132142
Blackfoot,Micropolitan Statistical Area,ID,37583,41737,45607,45927
Blacksburg - Christiansburg - Radford,Metropolitan Statistical Area,VA,152680,165161,178253,182993
Bloomington,Metropolitan Statistical Area,IL,145696,167186,186133,188232
Bloomington,Metropolitan Statistical Area,IN,126259,142342,159541,167825
Bloomsburg - Berwick,Metropolitan Statistical Area,PA,80937,82181,85563,84204
Bluefield,Micropolitan Statistical Area,WV-VA,110940,107577,107338,100848
Blytheville,Micropolitan Statistical Area,AR,57525,51999,46480,42159
Bogalusa,Micropolitan Statistical Area,LA,43185,43943,47171,46633
Boise City,Metropolitan Statistical Area,ID,319596,464872,616568,709845
Bonham,Micropolitan Statistical Area,TX,24804,31225,33910,34446
Boone,Micropolitan Statistical Area,IA,25186,26206,26306,26484
Boone,Micropolitan Statistical Area,NC,36952,42684,51064,55121
Borger,Micropolitan Statistical Area,TX,25689,23864,22249,21375
Boston - Cambridge - Newton,Metropolitan Statistical Area,MA-NH,4133895,4392533,4552596,4836531
Boulder,Metropolitan Statistical Area,CO,225339,269784,294572,322514
Bowling Green,Metropolitan Statistical Area,KY,113950,134951,158599,174835
Bozeman,Micropolitan Statistical Area,MT,50484,67837,89513,107810
Bradford,Micropolitan Statistical Area,PA,47131,45908,43450,41330
Brainerd,Micropolitan Statistical Area,MN,66040,82133,91067,93779
Branson,Micropolitan Statistical Area,MO,44639,68281,83882,87054
Breckenridge,Micropolitan Statistical Area,CO,12881,23560,27994,30585
Bremerton - Silverdale,Metropolitan Statistical Area,WA,189731,231982,251137,266414
Brenham,Micropolitan Statistical Area,TX,26154,30412,33700,35043
Brevard,Micropolitan Statistical Area,NC,25520,29316,33087,33956
Bridgeport - Stamford - Norwalk,Metropolitan Statistical Area,CT,827645,882622,916846,949921
Brookhaven,Micropolitan Statistical Area,MS,30278,33191,34869,34347
Brookings,Micropolitan Statistical Area,OR,19327,21147,22364,22669
Brookings,Micropolitan Statistical Area,SD,25207,28233,31962,34255
Brownsville,Micropolitan Statistical Area,TN,19437,19790,18807,17573
Brownsville - Harlingen,Metropolitan Statistical Area,TX,260120,334884,406219,423725
Brownwood,Micropolitan Statistical Area,TX,34371,37668,38106,38053
Brunswick,Metropolitan Statistical Area,GA,82207,93027,112368,118119
Bucyrus,Micropolitan Statistical Area,OH,47870,46909,43785,41746
Buffalo - Cheektowaga - Niagara Falls,Metropolitan Statistical Area,NY,1189340,1170022,1135617,1136856
Burley,Micropolitan Statistical Area,ID,38893,41554,43021,44393
Burlington,Micropolitan Statistical Area,IA-IL,50710,50535,47653,46212
Burlington,Metropolitan Statistical Area,NC,108213,130750,151198,162391
Burlington - South Burlington,Metropolitan Statistical Area,VT,177059,198895,211262,218395
Butte - Silver Bow,Micropolitan Statistical Area,MT,33941,34625,34209,34602
Cadillac,Micropolitan Statistical Area,MI,38507,44948,47584,48274
Calhoun,Micropolitan Statistical Area,GA,35067,44090,55186,57089
California - Lexington Park,Metropolitan Statistical Area,MD,75974,86196,105148,112667
Cambridge,Micropolitan Statistical Area,MD,30236,30671,32618,32162
Cambridge,Micropolitan Statistical Area,OH,39024,40813,40091,39093
Camden,Micropolitan Statistical Area,AR,36400,34507,31489,29115
Campbellsville,Micropolitan Statistical Area,KY,21146,22889,24512,25472
Cañon City,Micropolitan Statistical Area,CO,32273,46140,46824,47559
Canton,Micropolitan Statistical Area,IL,38080,38244,37069,35110
Canton - Massillon,Metropolitan Statistical Area,OH,394106,406966,404428,399927
Cape Coral - Fort Myers,Metropolitan Statistical Area,FL,335113,440910,618754,739224
Cape Girardeau,Metropolitan Statistical Area,MO-IL,82878,90286,96275,96782
Carbondale - Marion,Metropolitan Statistical Area,IL,118800,120907,126580,125612
Carlsbad - Artesia,Micropolitan Statistical Area,NM,48605,51633,53829,56997
Carroll,Micropolitan Statistical Area,IA,21423,21433,20816,20320
Carson City,Metropolitan Statistical Area,NV,40443,52477,55274,54745
Casper,Metropolitan Statistical Area,WY,61226,66541,75450,79547
Cedar City,Micropolitan Statistical Area,UT,20789,33793,46163,51001
Cedar Rapids,Metropolitan Statistical Area,IA,210640,237267,257941,270293
Cedartown,Micropolitan Statistical Area,GA,33815,38102,41475,42085
Celina,Micropolitan Statistical Area,OH,39443,40936,40814,40873
Central City,Micropolitan Statistical Area,KY,31318,31845,31499,30816
Centralia,Micropolitan Statistical Area,IL,41561,41678,39437,37902
Centralia,Micropolitan Statistical Area,WA,59358,68585,75457,78200
Chambersburg - Waynesboro,Metropolitan Statistical Area,PA,121082,129495,149618,154234
Champaign - Urbana,Metropolitan Statistical Area,IL,202848,210299,231889,239124
Charleston,Metropolitan Statistical Area,WV,243472,235995,227061,214406
Charleston - Mattoon,Micropolitan Statistical Area,IL,62314,64521,64921,62887
Charleston - North Charleston,Metropolitan Statistical Area,SC,506877,549021,664644,775831
Charlotte - Concord - Gastonia,Metropolitan Statistical Area,NC-SC,1341437,1717647,2216992,2525305
Charlottesville,Metropolitan Statistical Area,VA,157024,189601,218707,233793
Chattanooga,Metropolitan Statistical Area,TN-GA,433039,476611,528152,556548
Cheyenne,Metropolitan Statistical Area,WY,73142,81617,91881,98327
Chicago - Naperville - Elgin,Metropolitan Statistical Area,IL-IN-WI,8181939,9098970,9461541,9533040
Chico,Metropolitan Statistical Area,CA,182120,203125,220002,229294
Chillicothe,Micropolitan Statistical Area,OH,69330,73382,78065,77313
Cincinnati,Metropolitan Statistical Area,OH-KY-IN,1832284,1994818,2114686,2179082
Claremont - Lebanon,Micropolitan Statistical Area,NH-VT,193725,207897,218467,216537
Clarksburg,Micropolitan Statistical Area,WV,91509,92061,94196,93301
Clarksdale,Micropolitan Statistical Area,MS,31665,30617,26145,23154
Clarksville,Metropolitan Statistical Area,TN-KY,179800,219727,260635,285042
Clearlake,Micropolitan Statistical Area,CA,50631,58331,64665,64246
Cleveland,Micropolitan Statistical Area,MS,41875,40619,34148,31945
Cleveland,Metropolitan Statistical Area,TN,87355,104012,115758,122317
Cleveland - Elyria,Metropolitan Statistical Area,OH,2102207,2148041,2077271,2058844
Clewiston,Micropolitan Statistical Area,FL,25773,36184,39140,40347
Clinton,Micropolitan Statistical Area,IA,51040,50159,49116,47010
Clovis,Micropolitan Statistical Area,NM,42207,45050,48376,49812
Coamo,Micropolitan Statistical Area,PR,33837,37597,40512,39071
Coco,Micropolitan Statistical Area,PR,28335,31113,31078,28216
Coeur d'Alene,Metropolitan Statistical Area,ID,69795,108682,138464,157637
Coffeyville,Micropolitan Statistical Area,KS,38816,36267,35468,32556
Coldwater,Micropolitan Statistical Area,MI,41502,45781,45248,43410
College Station - Bryan,Metropolitan Statistical Area,TX,150998,184857,228668,258044
